customer_id,account_id,call_successful,call_unsuccessful,ptp_broken,ptp_kept,month_in_areas,total_arrears_amount,total_outstanding_amount
7599766,1156,1,0,0,0,0,76.71,47557.94
977494,1173,2,1,0,2,0,0.0,29913.04
8233795,1187,0,1,0,0,0,0.0,57671.39
4348930,1189,1,1,0,0,5,5820.78,107114.54
694236,1196,0,8,0,0,1,3432.86,182993.3
3173971,1218,0,1,0,0,0,0.0,42745.04
3321935,1259,1,0,0,0,3,8021.53,8027.9
2367195,1269,2,2,2,0,0,0.0,57447.56
1653587,1274,0,1,0,0,0,0.0,131581.67
2898056,1276,0,1,0,0,0,0.88,10394.6
7876585,1289,1,4,1,0,0,147.47,3948.95
7298875,1298,0,5,0,0,0,0.82,59495.66
1816039,1324,0,8,0,0,0,0.0,98209.53
5573048,1351,0,8,0,0,0,0.0,68053.37
4217712,1360,3,6,2,0,0,266.63,41686.58
5839883,1380,1,10,1,0,0,0.0,70522.36
8172082,1395,1,4,1,0,0,0.0,26057.56
7787313,1453,0,12,0,0,0,620.1,81035.67
2349863,1455,1,8,1,0,0,0.0,197815.18
564602,1512,0,2,0,0,0,0.0,50165.19
7465741,1526,0,4,0,0,0,0.0,111704.56
5455432,1530,0,1,0,0,0,571.25,19052.52
3353222,1533,0,3,0,0,0,0.0,82811.92
6590376,1546,0,3,0,0,0,451.57,49984.9
3837265,1586,0,1,0,0,0,0.0,4125.15
3996218,1595,1,1,1,0,0,0.0,88144.08
3987879,1610,1,0,1,0,0,0.0,29959.78
7768658,1655,0,7,0,0,0,0.0,24354.31
3611014,1663,0,3,0,0,0,0.61,11502.08
7789089,1668,0,4,0,0,0,0.0,74965.73
3441734,1695,1,4,0,1,0,0.0,89734.43
3666622,1699,8,5,4,0,1,1354.84,11462.77
7338281,1738,2,3,1,1,0,0.0,33632.3
2228757,1765,4,4,2,0,0,0.0,42781.79
1877337,1771,1,3,1,0,0,0.0,110009.15
815846,1813,1,1,0,0,0,0.0,27739.66
4613086,1863,0,2,0,0,0,0.0,54993.16
8303766,1879,3,15,3,0,0,64.79,13448.03
969210,1893,0,1,0,0,0,0.0,50453.74
5267257,1935,0,1,0,0,0,0.0,34224.85
2635759,1991,1,3,1,0,0,664.51,23524.01
5662589,2007,0,5,0,0,0,457.0,40678.77
2784304,2022,0,6,0,0,0,0.0,181298.0
6837868,2033,0,1,0,0,0,0.0,24078.78
301200,2052,0,4,0,0,0,24.85,30873.29
3158044,2102,0,11,0,0,1,1186.6,27412.86
2679922,2103,0,1,0,0,0,0.0,183032.76
320503,2153,1,2,0,1,0,0.0,132773.97
360912,2177,0,1,0,0,0,0.0,86567.4
7204355,2193,1,0,0,1,0,0.0,20612.06
7081618,2231,1,4,0,0,8,4187.16,68467.77
2693050,2247,0,7,0,0,0,56.36,6303.16
4592056,2259,0,2,0,0,0,0.0,34625.31
6732875,2285,0,1,0,0,10,34561.26,94693.51
3885388,2295,0,1,0,0,0,0.0,19559.49
3584316,2299,0,5,0,0,0,0.0,182397.87
7994799,2316,1,15,0,1,0,1757.85,139542.77
3021877,2325,0,5,0,0,0,0.0,95463.2
4231482,2344,0,9,0,0,0,0.0,15629.01
5822211,2356,0,1,0,0,0,0.89,26164.59
2552744,2363,2,5,1,0,0,0.0,128342.65
3363971,2437,4,3,3,0,0,515.81,52093.75
6366180,2441,0,2,0,0,0,0.0,114399.04
4700442,2472,0,3,0,0,0,0.0,34330.67
5951633,2536,3,12,2,1,0,104.89,98256.04
3591935,2544,1,6,0,0,0,0.0,51372.79
4666828,2675,1,1,0,1,0,0.0,28774.7
506772,2680,1,0,1,0,0,0.0,181859.85
3932954,2727,0,12,0,0,1,1052.76,68433.33
7383691,2728,2,0,2,0,0,0.0,50172.1
4471859,2744,1,9,0,0,0,265.67,23042.07
4965354,2753,1,0,1,0,7,3082.43,14989.77
1793590,2754,1,0,0,1,0,0.0,50581.07
5623574,2794,0,3,0,0,0,0.0,8684.08
2841858,2827,2,8,2,0,0,92.32,39262.14
5359938,2860,0,11,0,0,0,344.37,76176.03
2814391,2913,0,16,0,0,1,909.3,19318.59
1494815,2918,0,2,0,0,0,0.0,41570.17
5019511,2931,0,1,0,0,25,23427.48,72304.02
383900,2934,0,1,0,0,0,108.51,6862.34
1223337,2958,0,6,0,0,0,0.0,174198.36
673214,2974,1,3,0,0,9,21172.06,180064.04
5518053,2996,0,6,0,0,0,0.0,115662.69
1119971,3018,1,3,1,0,0,218.34,30356.19
147716,3034,1,9,0,0,0,0.0,84005.92
105609,3045,0,4,0,0,0,648.84,63195.38
3235060,3069,3,15,2,0,0,305.51,52986.18
5650822,3080,1,0,0,1,0,0.0,58202.73
7788306,3094,0,15,0,0,0,230.43,68492.74
2084631,3103,0,4,0,0,0,413.24,41756.91
7324759,3158,0,6,0,0,0,0.0,112886.12
6235529,3174,0,3,0,0,0,11.4,40639.23
4933085,3194,1,6,0,0,1,1346.54,61128.18
3641508,3213,1,0,0,1,0,0.0,30894.15
1069790,3220,1,8,0,0,1,1952.85,76991.21
8341001,3268,0,7,0,0,0,0.0,79280.09
1580941,3286,0,1,0,0,0,0.0,22429.81
5360201,3311,2,2,2,0,1,1578.84,88858.91
128608,3312,5,16,4,0,0,39.85,44594.41
3222444,3322,0,2,0,0,6,6258.67,54646.03
2733554,3326,0,3,0,0,0,0.0,149920.99
3023596,3333,0,5,0,0,0,380.81,11253.69
6519001,3334,0,8,0,1,0,616.92,74363.49
7745933,3392,3,5,2,1,0,0.0,185683.31
2043126,3402,0,1,0,0,0,0.0,92375.92
6740174,3407,2,10,2,0,0,227.36,36655.99
3505162,3412,0,2,0,0,0,0.0,93039.33
1190877,3430,0,5,0,0,0,0.0,97040.81
2442517,3436,2,4,0,1,1,1695.41,39092.2
1127212,3445,0,4,0,0,0,0.14,75403.61
3455947,3450,1,2,0,1,0,0.0,132811.68
6257028,3483,0,3,0,0,0,0.0,4410.34
2516688,3487,2,10,0,1,0,622.7,70694.79
7576925,3531,1,5,1,0,0,0.0,45412.73
6059419,3567,1,9,1,0,0,0.0,141092.21
2204334,3576,0,15,0,0,1,965.89,17207.42
3902308,3614,0,1,0,0,0,4.67,60510.97
798522,3616,0,1,0,0,0,0.0,26084.06
4689218,3617,2,2,0,0,0,579.0,21093.84
3289,3662,0,5,0,0,0,0.0,60937.28
69234,3708,0,1,0,0,0,374.15,59884.69
1750442,3727,0,4,0,0,0,0.0,24155.5
35597,3755,2,9,1,0,0,730.91,94214.54
389897,3773,0,8,0,0,0,1126.66,72804.55
853674,3806,1,1,1,0,0,0.0,153737.93
2840285,3820,1,0,1,0,0,9.0,21689.0
4636746,3822,0,1,0,0,0,0.0,87840.68
5422670,3829,0,1,0,0,0,0.0,89738.95
5276648,3843,2,3,2,0,1,773.27,32103.45
5925126,3844,1,0,0,0,2,3795.58,3795.84
4802251,3856,1,0,0,1,0,0.0,73427.86
3278838,3871,8,7,5,0,0,406.21,35009.73
6834514,3919,0,1,0,0,0,0.29,16355.98
8281174,3924,1,6,0,0,0,0.0,118236.85
7520702,3950,0,1,0,0,0,0.0,94583.82
706714,3954,0,2,0,0,0,663.45,40406.57
2629145,3978,0,1,0,0,0,0.0,100183.32
2955351,4017,1,10,1,0,0,1697.41,130986.87
6486999,4034,0,4,0,0,0,581.9,68946.2
7620622,4080,0,10,0,0,0,0.0,78367.93
8004901,4093,0,10,0,0,0,2.24,10395.39
2619043,4126,0,5,0,0,0,0.0,42337.96
2020589,4144,1,0,1,0,0,0.0,6705.15
4148647,4221,0,4,0,0,0,530.15,38714.68
1851552,4231,2,2,2,0,0,0.26,25214.12
6343110,4250,0,1,0,0,0,0.0,56602.55
1761480,4259,3,12,2,1,0,0.0,54061.66
4427132,4280,2,4,1,0,0,569.0,61371.83
1211038,4294,3,0,0,0,2,1409.81,1409.91
1759022,4328,2,2,2,0,0,4.85,88903.23
2640955,4367,1,1,1,0,0,4.98,47739.9
8130170,4374,0,6,0,0,0,443.44,44373.94
691312,4396,2,9,2,0,0,869.35,193649.21
6559710,4404,0,3,0,0,0,0.0,101188.31
763054,4412,0,2,0,0,0,186.7,54563.75
5416698,4420,1,3,0,1,1,840.02,20119.08
6576265,4421,1,0,0,0,0,0.0,55671.23
6148750,4448,2,4,1,0,0,330.22,27619.43
6075165,4469,1,8,0,0,0,1.74,11982.11
1572661,4502,1,2,1,0,0,0.0,32538.33
4217415,4511,0,5,0,0,1,646.2,27045.72
2809949,4533,0,2,0,0,0,245.61,35445.14
5848195,4664,3,3,2,0,0,715.64,115394.57
5151548,4742,0,9,0,0,0,0.0,87462.25
2117532,4781,0,1,0,0,0,0.0,37064.4
1286916,4789,2,3,1,0,0,0.0,136683.1
1255593,4793,0,9,1,0,1,1152.44,2320.3
6512227,4805,0,3,0,0,0,0.0,13635.83
1116192,4842,0,6,0,0,0,0.0,90794.66
8245864,4850,0,2,0,0,0,0.0,100930.17
448302,4902,1,1,1,0,0,0.0,181932.15
1872817,4904,1,2,0,0,4,7222.34,107268.99
1553051,4911,2,7,1,1,0,0.0,100058.94
4410984,4928,1,0,0,0,6,6710.05,6797.49
4478942,4939,0,3,0,0,0,0.0,81716.51
4802973,4954,0,1,0,0,0,0.0,65398.32
740451,4972,0,1,0,0,0,0.0,23389.52
7795738,4976,0,7,0,0,0,0.0,7802.84
3596364,4984,0,6,0,0,0,227.72,23037.8
2600434,5011,2,8,0,0,1,658.29,17221.46
8057475,5038,1,8,0,0,0,0.0,74566.04
5919987,5042,4,4,2,0,0,0.0,52741.38
8349212,5044,0,1,0,0,0,0.0,90343.71
4742379,5049,1,8,1,0,0,2.3,83761.44
3579289,5061,0,1,0,0,2,1625.66,45153.86
2941399,5075,4,9,4,0,0,471.18,33671.93
5007379,5086,0,1,0,0,0,0.0,37137.95
2667921,5087,0,1,0,0,0,0.0,64913.44
5194897,5102,1,0,0,0,0,268.96,17372.92
4057263,5115,0,3,0,0,0,0.0,84029.45
4532298,5124,0,2,0,0,0,0.0,124020.46
397842,5145,2,1,1,1,0,0.0,59729.83
1394778,5160,0,1,0,0,0,0.0,75463.14
2496450,5170,1,1,0,1,0,0.0,43792.22
7202107,5227,0,6,0,0,0,0.0,46215.26
4734564,5257,0,3,0,0,0,1070.8,99390.73
4496681,5273,0,1,0,0,0,0.0,29417.8
3203512,5302,0,1,0,0,0,0.0,147581.76
525162,5315,0,2,0,0,2,4958.3,180041.15
6610403,5322,1,0,0,1,0,0.0,24537.53
4068203,5331,1,1,0,1,0,0.0,129880.56
2176977,5374,1,5,0,0,0,0.0,14790.56
8410105,5375,1,1,1,0,0,90.0,42453.5
2573795,5382,0,3,0,0,0,0.0,7263.69
8309502,5414,0,5,0,0,0,0.0,184758.97
419243,5473,4,6,3,0,1,1748.12,87667.66
7502521,5475,1,0,1,0,0,0.0,10313.65
3439855,5522,0,10,0,0,0,975.92,79445.52
5738975,5540,0,2,0,0,0,0.0,121489.41
2188363,5568,1,2,0,1,1,129.83,3731.44
3159077,5584,0,8,0,0,0,2.33,37401.03
2424121,5591,1,3,1,0,0,0.0,46294.31
3551906,5592,0,1,0,0,0,0.0,83395.67
7251916,5601,0,5,0,0,1,1064.22,84570.44
4393159,5702,0,1,0,0,0,0.0,27715.4
6738180,5703,0,1,0,0,0,0.0,14303.46
2454080,5715,2,7,0,0,0,864.34,146415.0
5687473,5723,5,4,2,1,0,150.0,14280.36
699808,5742,1,0,0,0,0,0.0,156833.24
4070045,5762,0,5,0,0,0,0.0,121248.88
5059105,5784,4,2,3,0,1,2342.95,134024.03
591149,5787,0,1,0,0,0,0.0,129804.13
5626937,5788,0,7,0,0,0,0.0,25876.05
139732,5847,0,1,0,0,0,244.54,16674.55
2317829,5852,4,4,1,2,0,716.77,25193.96
1913292,5858,0,2,0,0,0,0.0,77370.33
2476745,5864,3,5,0,0,0,0.76,56409.02
2823505,5867,0,13,0,0,1,1691.85,98065.02
5193623,5885,1,0,0,1,0,0.0,74456.8
7042628,5895,0,1,0,0,0,0.0,1423.17
1506377,5896,0,2,0,0,0,0.0,63002.19
5512044,5916,2,12,2,0,2,1776.0,45672.31
4132017,5964,0,3,0,0,0,1569.24,84101.66
3426518,5989,0,1,0,0,0,0.0,181664.0
4526412,6022,4,2,2,1,0,0.0,76322.74
6720131,6071,0,1,0,0,0,0.0,18949.79
7207217,6088,2,8,0,0,1,913.82,62387.21
1251539,6092,0,14,0,0,0,409.38,66066.36
4916460,6108,1,5,0,0,1,2977.39,154643.61
5917565,6132,1,9,0,0,0,1635.78,53445.63
4166347,6157,2,3,1,0,2,1729.34,45540.35
1134090,6183,0,1,0,0,0,0.0,86518.73
3419556,6202,0,5,0,0,0,0.0,111032.36
2471964,6210,0,1,0,0,0,0.0,154591.71
8312832,6224,2,2,1,1,0,0.0,16279.33
6102019,6225,1,4,0,1,0,0.0,27193.48
1282720,6253,1,11,1,0,0,0.0,62939.43
6340514,6272,1,1,1,0,0,795.79,193337.97
5986308,6309,0,1,0,0,3,200.25,20931.42
903864,6403,0,1,0,0,0,0.0,13906.65
3562129,6415,2,1,1,2,1,794.27,47687.83
1900518,6416,2,4,2,0,0,0.0,170913.03
3266492,6427,0,3,0,0,0,159.85,13678.39
5760374,6432,0,5,0,0,0,0.0,11956.66
7353871,6453,0,1,0,0,0,0.0,57562.85
3059850,6458,0,7,0,0,1,841.09,15113.09
2858869,6468,0,2,0,0,0,0.0,59843.72
3746292,6475,0,4,0,0,0,0.0,100619.49
4093662,6486,0,1,0,0,0,0.0,74100.0
5497512,6533,1,0,0,0,0,0.0,25668.11
4138919,6551,0,4,0,0,0,0.0,187042.73
4790660,6574,4,4,2,1,0,2.12,49834.43
6348382,6598,1,3,0,0,3,377.94,16954.28
8467219,6651,1,2,1,0,0,0.0,32225.04
4661635,6684,2,8,0,0,0,295.39,57424.65
5512782,6711,1,4,0,1,0,0.0,45227.07
3910124,6736,0,2,0,0,0,0.0,62528.46
4071606,6750,1,23,1,0,0,685.78,55058.2
4718056,6753,1,6,0,0,0,0.0,21245.24
5454670,6769,2,9,2,0,0,99.19,6759.04
4785189,6775,3,6,3,0,1,1522.08,65099.31
2466295,6953,0,2,0,0,0,0.48,19272.99
8034772,6973,0,1,0,0,0,0.0,58795.23
7036374,6980,4,0,4,0,0,0.0,41520.5
7209209,7000,0,12,0,0,1,1790.49,84390.97
5961425,7079,1,2,1,0,0,808.83,66487.08
6930808,7084,0,1,0,0,0,0.0,120225.23
1061450,7091,0,1,0,0,10,7810.93,54390.2
2278558,7108,1,0,0,1,0,0.0,178264.54
3771995,7111,0,1,0,0,0,245.19,11421.3
4976972,7121,0,4,0,0,0,55.96,20505.81
7132551,7143,0,10,0,0,0,1464.21,135140.56
572083,7155,0,3,0,0,0,421.9,20147.29
1846759,7158,1,5,1,0,0,0.0,70209.36
853026,7172,0,9,0,0,0,488.37,146167.32
6403970,7203,0,1,0,0,0,22.93,139441.8
3396019,7255,2,2,1,1,0,0.0,135255.07
5588233,7295,1,3,0,0,0,1.36,38275.86
950,7301,1,0,1,0,0,0.0,61750.53
7507316,7313,1,0,1,0,0,0.0,22758.34
709949,7326,0,6,0,0,0,0.0,76280.96
5161241,7331,0,3,0,0,0,0.0,138643.62
4084281,7352,0,10,0,0,1,3062.71,149700.34
8315669,7365,1,0,0,1,0,0.0,123644.71
7927982,7369,5,2,3,2,0,0.0,58968.05
6834321,7373,1,8,1,0,0,1581.34,96728.54
5455695,7404,1,9,0,0,0,2.28,16192.56
5844223,7413,0,1,0,0,2,1567.14,46677.04
1134888,7427,2,2,0,1,0,202.01,4792.61
7270705,7430,5,9,4,1,0,272.77,26197.85
5882118,7459,0,5,0,0,0,0.0,62729.19
5389008,7536,1,3,0,1,0,0.0,67682.87
681915,7538,2,1,0,2,0,0.0,49342.15
2342517,7552,0,8,0,0,0,0.0,79921.34
504775,7583,1,10,1,0,1,272.88,7702.99
174321,7585,0,1,0,0,0,0.0,191665.19
7768804,7590,0,10,0,0,0,33.45,6098.97
7140118,7600,0,1,0,0,0,0.0,145212.81
8240242,7603,2,1,0,0,0,198.77,15564.87
5379914,7604,5,6,4,1,0,1551.09,103037.29
3789964,7620,0,1,0,0,0,0.0,83984.55
6988741,7648,0,8,0,0,0,280.98,25412.82
5095725,7688,3,11,3,0,0,0.0,34516.69
1642124,7700,5,8,2,0,0,2220.18,170236.26
7807939,7721,0,1,0,0,0,859.96,79361.62
2639947,7739,5,8,5,0,1,2240.14,94647.03
3887560,7755,1,1,0,1,0,0.0,126236.76
2502341,7778,0,7,0,0,0,0.0,94047.54
6450873,7793,0,1,0,0,0,1437.34,87498.55
7691129,7848,3,3,1,1,0,0.0,50782.62
4493789,7872,1,0,1,0,0,0.0,413.8
4317653,7899,0,4,0,0,0,1099.8,109688.06
835417,7908,0,6,0,0,0,28.99,24313.99
3160813,7912,1,5,0,0,0,1074.22,54932.57
863460,7925,0,2,0,0,0,0.0,51240.47
6204092,8017,0,7,0,0,0,0.33,13072.14
4395968,8023,3,1,2,1,0,12.21,45093.28
3496029,8025,1,3,1,0,0,0.0,126110.82
4327831,8039,1,1,0,1,0,0.0,50475.32
3030154,8065,0,14,0,0,0,218.5,37421.44
2846131,8104,0,1,0,0,0,0.0,1765.43
4381180,8125,1,0,0,1,0,0.0,43152.75
5827681,8150,0,4,0,0,0,0.0,26365.5
7800432,8170,1,0,1,0,0,0.0,29403.3
5771210,8180,0,4,0,0,0,0.0,37584.24
2571579,8209,0,1,0,0,0,139.79,11158.25
2431705,8219,2,1,1,0,2,4125.81,125971.92
1406066,8249,0,2,0,0,0,0.0,79961.92
299327,8276,1,0,0,1,0,0.0,174707.99
7282,8297,0,15,0,0,1,975.0,62725.04
848887,8336,4,16,3,0,1,1428.66,137376.92
7779013,8346,0,4,0,0,0,13.01,33900.97
7791027,8358,0,1,0,0,0,0.0,89963.44
5239293,8395,0,4,0,0,0,0.0,92433.51
2021186,8414,1,6,1,0,0,111.84,171432.46
8059778,8443,0,2,0,0,0,0.0,40781.1
1140748,8449,0,1,0,0,0,0.0,41950.07
7834651,8450,1,0,1,0,0,0.0,16466.59
1971051,8456,4,11,3,0,2,2222.88,17643.33
951050,8459,1,0,0,1,0,0.0,128747.4
4820507,8486,0,5,0,0,1,764.06,36858.12
2726909,8529,3,10,3,0,1,717.87,22654.87
6057352,8556,0,4,0,0,0,0.0,54019.35
5399163,8588,9,2,9,0,1,698.35,78047.25
5577170,8592,2,0,0,0,0,-7.0,28875.28
5822435,8666,0,4,0,0,1,471.39,23018.33
5152698,8693,1,6,0,0,2,600.17,3096.9
3118490,8708,0,2,0,0,0,0.0,151597.54
8056008,8782,1,0,0,1,0,0.0,48414.09
2766736,8817,2,2,1,1,0,0.0,1027.53
1556407,8834,0,13,0,0,0,1.54,18618.78
7788374,8839,1,2,0,1,0,0.0,58150.77
4054956,8843,1,2,1,1,2,1050.26,40857.59
5876254,8856,0,13,0,0,0,0.0,37228.57
1453909,8858,0,4,0,0,1,634.95,18217.68
822315,8859,0,1,0,0,0,0.0,56111.58
3467579,8869,0,2,0,0,0,97.72,53472.86
8053393,8896,0,6,0,0,2,813.68,19204.55
1814586,8911,0,1,0,0,0,0.0,96896.05
5669297,8953,2,0,0,2,0,0.0,15611.87
5362853,8963,0,1,0,0,0,0.0,85415.55
8017419,9025,0,5,0,0,0,210.55,8604.69
3324371,9031,0,2,0,0,0,123.57,7369.83
3276263,9059,2,5,1,1,0,0.0,116368.03
3484794,9078,0,1,0,0,0,0.0,23287.76
5412299,9133,0,5,0,0,0,0.0,120293.68
7670227,9141,0,4,0,0,0,434.67,39849.71
7842314,9156,3,8,3,0,0,0.3,28853.74
4681993,9157,0,1,0,0,0,0.0,109463.37
6913787,9188,0,1,0,0,0,0.0,27929.2
2924402,9205,0,1,0,0,0,0.0,82799.8
2764611,9226,2,7,1,0,0,0.0,180664.18
5365651,9263,0,2,0,0,0,0.0,8755.3
108527,9266,2,2,1,0,0,445.92,2821.12
6408549,9282,0,4,0,0,0,0.0,53864.55
656772,9345,1,1,0,0,3,841.4,17188.73
2231602,9433,1,1,1,0,0,0.0,45144.02
1032378,9437,1,1,0,1,0,0.0,63607.13
6651112,9438,1,0,0,0,0,0.0,135340.26
4777085,9460,1,1,0,1,0,0.0,58782.63
5688742,9464,0,3,0,0,0,580.14,55979.9
5917777,9480,0,3,0,0,0,0.0,14440.48
1543516,9489,2,3,1,1,0,0.0,51774.89
4790154,9492,0,1,0,0,1,463.17,14313.19
2954239,9529,2,5,2,0,0,24.18,192372.38
8387120,9532,0,6,0,0,2,1227.89,14829.95
3799929,9534,1,0,0,1,0,0.0,22465.51
5993295,9662,1,5,0,0,1,1453.22,33499.81
2735297,9703,1,14,0,0,1,1147.67,74632.12
2144202,9704,0,2,0,0,0,0.0,21816.41
4179850,9735,0,4,0,0,0,0.0,14930.71
8326785,9741,0,4,0,0,0,0.0,23666.99
373058,9831,0,1,0,0,0,0.0,7287.81
5443762,9834,0,25,0,0,0,153.03,126126.83
4559202,9845,3,16,2,0,0,1787.28,173263.93
6437120,9865,3,2,0,2,0,0.0,23608.15
8171095,9867,0,3,0,0,0,6.09,93315.63
6377880,9877,0,1,0,0,0,0.0,59179.36
2962636,9919,0,4,0,0,0,0.0,27288.36
8161687,9939,0,1,0,0,0,0.0,16934.45
8409459,9963,0,2,0,0,0,584.51,53202.75
3126367,9976,0,1,0,0,0,0.0,8254.79
3928865,10048,0,2,0,0,0,0.0,67653.13
739324,10130,0,4,0,0,0,1.85,73772.89
496591,10146,0,1,0,0,0,0.0,6071.46
6529072,10172,1,0,1,0,0,404.79,12855.86
1503088,10205,0,10,0,0,0,0.0,53679.31
2849584,10246,1,3,1,0,0,0.0,74915.33
6557294,10271,1,1,1,0,0,361.74,45250.59
4030143,10272,6,4,6,0,0,114.6,13944.86
4538461,10326,3,9,2,0,1,3544.89,81370.25
7875655,10330,0,4,0,0,0,0.0,61386.42
99361,10331,1,4,1,0,0,0.0,169921.16
215307,10362,6,14,5,0,1,1571.1,123008.26
2884903,10450,5,9,4,0,0,487.03,6840.2
2951758,10482,0,4,0,0,0,0.0,17660.67
4019319,10501,2,2,2,0,1,590.28,32350.01
2229386,10510,0,2,0,0,0,0.0,124481.79
1542944,10513,2,0,1,1,0,0.0,27966.42
7632084,10526,0,1,0,0,0,0.0,131824.91
4110015,10574,1,2,0,1,0,0.0,38144.16
7795775,10581,8,13,5,1,0,0.0,108802.29
3819101,10582,0,5,0,0,0,0.0,43699.69
1553351,10583,0,4,0,0,0,0.0,58593.16
3649216,10608,4,9,4,0,1,919.37,33150.66
3152275,10624,1,2,0,0,0,0.14,10265.27
5354522,10642,0,1,0,0,0,7.07,52151.86
4906296,10655,0,1,0,0,0,0.0,32459.75
4964045,10658,1,2,0,0,21,15566.37,69223.24
5239946,10662,0,6,0,0,0,0.0,142808.92
7492205,10674,0,2,0,0,0,0.0,74756.2
4577214,10745,0,2,0,0,0,0.0,63576.75
1184989,10758,1,0,0,1,0,0.0,61769.29
2462143,10780,1,0,0,0,9,13125.21,128052.47
3492933,10820,0,2,0,0,0,0.0,46603.88
592074,10821,3,3,2,1,1,393.39,13901.65
8156054,10834,1,0,0,0,3,1062.97,1063.04
2221290,10836,0,9,0,0,0,138.07,118237.55
914413,10838,0,1,0,0,0,0.0,83123.68
1107187,10880,0,7,0,0,0,0.0,19946.2
5904805,10905,1,3,0,1,0,0.0,8655.77
794952,10951,1,5,1,0,0,348.99,31159.37
2217895,10953,2,6,1,0,0,0.37,24492.84
5400556,11001,0,1,0,0,0,0.0,105395.17
2020971,11008,0,2,0,0,0,534.37,28584.62
6114285,11010,0,3,0,0,0,0.0,38104.27
229229,11014,1,2,1,0,0,588.73,55673.27
4661384,11023,0,4,0,0,0,263.25,32076.83
6510451,11035,1,1,0,1,0,383.82,11321.31
2895239,11040,1,6,1,0,0,0.0,189959.79
7683542,11050,2,5,2,0,0,0.0,40804.19
1008218,11055,1,7,1,0,0,0.0,28282.98
5259484,11155,3,0,1,2,2,665.43,23525.98
3250412,11245,3,3,1,0,0,76.7,9094.87
7304527,11254,1,1,0,0,0,286.32,31433.57
533637,11282,0,9,0,0,0,3.49,186695.17
7201081,11291,1,4,1,0,2,2893.84,4874.08
2855470,11307,3,4,2,1,1,575.82,30550.97
1014895,11310,0,2,0,0,0,396.0,5754.19
4094105,11316,1,7,1,0,0,251.11,62184.67
1184443,11318,0,2,0,0,0,0.0,109818.91
2670895,11320,0,5,0,0,0,339.78,15455.62
8210839,11325,1,0,0,0,11,4378.06,41341.5
4263010,11336,0,5,0,0,1,4007.63,190736.38
2643878,11355,0,2,0,0,0,0.0,14889.17
1102923,11436,1,1,0,1,0,0.0,32907.45
8255929,11440,0,3,0,0,1,379.99,61596.67
1507936,11441,0,12,0,0,0,466.34,177470.03
3923285,11442,1,2,0,1,0,0.0,32635.79
4893804,11445,1,0,0,1,0,0.0,60045.66
798495,11456,0,5,0,0,1,449.77,9489.01
261674,11465,0,2,0,0,0,282.05,29840.9
4424929,11494,0,2,0,0,0,121.47,47099.87
804459,11518,0,2,0,0,0,0.0,88928.73
8279024,11533,0,5,0,0,0,373.23,148297.08
5406754,11538,1,0,0,1,0,0.0,23278.98
1789697,11544,1,0,0,1,0,283.01,8343.74
3112122,11554,1,5,1,0,1,2270.28,51447.42
5235747,11556,1,2,1,0,0,0.0,163969.02
5657895,11566,1,1,1,0,0,0.0,68131.87
7831640,11570,3,5,2,1,0,0.0,85410.67
997768,11591,1,1,0,1,0,0.0,42808.71
3739750,11593,0,4,0,0,1,625.9,42899.3
2950338,11622,1,0,0,1,0,0.0,76399.96
